file_path,label_source,file_exists,file_size_bytes,metadata_duration_seconds,sample_rate_hz,channels,estimated_bitrate_kbps,container_format,codec_subtype,bitrate_kbps,bitrate_mode,mpeg_version,mp3_mode,metadata_error
music/low_stream/Phillip Wilkerson - 02-Conclusion.mp3,archive_low_download,True,61045010,1525.9730158730158,44100.0,2.0,320.03192384146257,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,stereo,
music/low_stream/Ephedrina's Crew - 02_rmssSystemsInc.-WhiteNightdedicatedToAnnaM.mp3,archive_low_download,True,21921280,786.0,44100.0,2.0,223.1173536895674,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/low_stream/One Thousand Pilots - 05NovayaZemlya_64kb.mp3,archive_low_download,True,3040989,380.00290249433107,22050.0,2.0,64.02033205618193,MP3,MPEG_LAYER_III,64.0,constant,MPEG 2.0,joint stereo,
music/low_stream/Light in Your Life - 09-Light_in_Your_Life-Christian.mp3,archive_low_download,True,6805632,283.4266666666667,44100.0,2.0,192.09574257891518,MP3,MPEG_LAYER_III,192.0,constant,MPEG 1.0,stereo,
music/low_stream/Ephedrina's Crew - 04_B8 - Gnit (ft MatchVill).mp3,archive_low_download,True,11263096,281.5037641723356,44100.0,2.0,320.08370568301956,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,joint stereo,
music/low_stream/Snow Monster - kzz014_-_snow_monster_-_03_-_green_old_pants.mp3,archive_low_download,True,1871124,48.013061224489796,44100.0,2.0,311.7691648531012,MP3,MPEG_LAYER_III,,average,MPEG 1.0,joint stereo,
music/low_stream/Winjer3 - 06_-_Winjer3_-_Haze_Obscures_the_Horizon.mp3,archive_low_download,True,8690176,300.4660317460318,44100.0,2.0,231.37859409932503,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/low_stream/The Mystery Artist - 08_the_mystery_artist_-_the_end_part_2.mp3,archive_low_download,True,5438646,223.26666666666668,44100.0,2.0,194.87534189310242,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/low_stream/C.P McDill - wh225_01_M-SR_Razor-Pluvia.mp3,archive_low_download,True,149124659,3728.0,44100.0,2.0,320.00999785407726,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,joint stereo,
music/low_stream/Terra Engine - 4-As_Electrical_Impulses.mp3,archive_low_download,True,15075328,377.20414965986396,44100.0,2.0,319.72772332634975,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,joint stereo,
music/low_stream/A. Ripdae la Wise Escobar & Carl Yvan Prévil - Ripdae La Wise & Carl Yvan Prévil - with a moko jumbie & a persona of three. - 01 Fela (Somehow I don’t think Charlie P.mp3,archive_low_download,True,5876348,141.52809523809523,44100.0,2.0,332.1657365692156,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,joint stereo,
music/low_stream/Andrew Johnson-Jesse Andersen - 01speedboat_part_one_64kb.mp3,archive_low_download,True,10449381,1312.3080272108843,22050.0,2.0,63.700782336650676,MP3,MPEG_LAYER_III,64.0,constant,MPEG 2.0,joint stereo,
music/low_stream/Endless Void - Endless Void - We Are One - 04 Forest Rain.mp3,archive_low_download,True,15937900,395.91183673469385,44100.0,2.0,322.049477104777,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,joint stereo,
music/low_stream/Vince Gauthier - 1_Skullfuck.mp3,archive_low_download,True,13598217,339.76238095238097,44100.0,2.0,320.18181558259903,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,stereo,
music/low_stream/Melcher Tschiemer - MT 1996 - 9 - Pope Bernard & Sitting Bull - 23 April 1996.mp3,archive_low_download,True,7986097,500.27916099773245,44100.0,1.0,127.7062507912249,MP3,MPEG_LAYER_III,128.0,constant,MPEG 1.0,mono,
music/low_stream/Ultramerda - 11 - Odia! (Faster bootleg).mp3,archive_low_download,True,11547459,288.52351473922903,44100.0,2.0,320.18073841743484,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
